Triplet #,Anchor,Positive,Negative,Hardness Score
1,Sweater_wind1_b10_m0.5_1.mp4,Cotton_wind1_b10_m0.3_1.mp4,Bro_wind2_b0.001_m1.3_1.mp4,4
2,Sweater_wind1_b0.1_m0.1_1.mp4,Cotton_wind3_b0.1_m0.3_1.mp4,Cotton_wind3_b100_m1_1.mp4,8
3,FeltGreen_wind3_b0.01_m0.3_1.mp4,Bro_wind1_b0.01_m1.3_1.mp4,Sha_wind1_b0.1_m0.1_1.mp4,5
4,Silk_wind2_b100_m0.7_1.mp4,FeltGreen_wind3_b100_m0.1_1.mp4,Bro_wind1_b0.1_m0.7_1.mp4,4
5,Sha_wind2_b0.001_m0.3_1.mp4,Silk_wind3_b0.001_m1.7_1.mp4,Sha_wind3_b1_m0.1_1.mp4,8
6,Fleece_wind2_b1_m0.3_1.mp4,Fleece_wind2_b1_m0.5_1.mp4,Sweater_wind2_b100_m1_1.mp4,5
7,Sha_wind2_b100_m0.5_1.mp4,Sha_wind1_b100_m1_1.mp4,Silk_wind1_b10_m1_1.mp4,6
8,Fleece_wind1_b0.1_m0.7_1.mp4,Fleece_wind3_b0.1_m0.7_1.mp4,Cotton_wind3_b1_m0.5_1.mp4,2
9,Sweater_wind2_b100_m1_1.mp4,Silk_wind1_b100_m1.3_1.mp4,FeltGreen_wind2_b0.1_m0.5_1.mp4,3
10,Bro_wind3_b0.1_m0.3_1.mp4,Cotton_wind3_b0.1_m0.5_1.mp4,FeltGreen_wind2_b100_m0.5_1.mp4,4
11,Fleece_wind3_b0.1_m1.3_1.mp4,Fleece_wind3_b0.1_m1.3_1.mp4,Fleece_wind1_b1_m1.3_1.mp4,0
12,Fleece_wind3_b100_m0.5_1.mp4,Bro_wind1_b100_m0.3_1.mp4,Silk_wind1_b0.001_m0.3_1.mp4,4
13,Bro_wind2_b100_m0.7_1.mp4,FeltGreen_wind2_b100_m1.7_1.mp4,Silk_wind1_b0.1_m0.3_1.mp4,3
14,Sweater_wind3_b100_m0.3_1.mp4,Fleece_wind3_b100_m1.7_1.mp4,FeltGreen_wind2_b0.001_m0.7_1.mp4,4
15,Cotton_wind2_b0.1_m1.7_1.mp4,Fleece_wind1_b0.1_m1.3_1.mp4,Sha_wind2_b1_m1.3_1.mp4,2
16,Bro_wind2_b1_m0.1_1.mp4,Silk_wind3_b1_m0.7_1.mp4,FeltGreen_wind2_b0.001_m0.7_1.mp4,2
17,FeltGreen_wind3_b10_m0.3_1.mp4,Sweater_wind3_b10_m1_1.mp4,Fleece_wind3_b0.001_m0.5_1.mp4,5
18,Cotton_wind3_b100_m1_1.mp4,Bro_wind1_b100_m0.7_1.mp4,Bro_wind1_b0.01_m1.3_1.mp4,7
