Triplet #,Anchor,Positive,Negative,Hardness Score
1,Bro_wind3_b0.001_m1.3_1.mp4,Sweater_wind2_b0.001_m1.3_1.mp4,Sweater_wind2_b0.1_m1.3_1.mp4,8
2,Bro_wind2_b0.01_m1.3_1.mp4,Silk_wind2_b0.01_m1.7_1.mp4,Bro_wind1_b10_m0.1_1.mp4,5
3,Cotton_wind2_b0.001_m1_1.mp4,FeltGreen_wind2_b0.001_m0.5_1.mp4,FeltGreen_wind3_b100_m0.3_1.mp4,4
4,Sha_wind3_b100_m0.5_1.mp4,Sweater_wind3_b100_m0.7_1.mp4,Sweater_wind2_b1_m0.7_1.mp4,5
5,Sweater_wind3_b10_m0.1_1.mp4,Cotton_wind3_b10_m0.1_1.mp4,Fleece_wind2_b0.001_m0.1_1.mp4,3
6,Silk_wind3_b10_m0.1_1.mp4,Bro_wind3_b10_m0.1_1.mp4,Cotton_wind2_b0.1_m0.1_1.mp4,4
7,Fleece_wind2_b0.01_m1.3_1.mp4,Fleece_wind3_b0.01_m0.1_1.mp4,FeltGreen_wind2_b0.1_m0.7_1.mp4,3
8,Cotton_wind1_b0.01_m0.5_1.mp4,Cotton_wind2_b0.01_m1.7_1.mp4,FeltGreen_wind2_b100_m0.3_1.mp4,6
9,Silk_wind1_b100_m0.7_1.mp4,Sweater_wind1_b100_m0.7_1.mp4,Cotton_wind3_b0.01_m0.7_1.mp4,3
10,Cotton_wind1_b10_m1_1.mp4,Silk_wind3_b10_m1_1.mp4,Fleece_wind2_b1_m1_1.mp4,6
11,Bro_wind3_b0.01_m0.1_1.mp4,FeltGreen_wind3_b0.01_m0.1_1.mp4,Sha_wind1_b0.1_m0.1_1.mp4,1
12,Sweater_wind2_b0.1_m1_1.mp4,Sweater_wind3_b0.1_m0.5_1.mp4,Bro_wind3_b10_m1_1.mp4,8
13,Sha_wind1_b0.1_m1_1.mp4,Cotton_wind2_b0.1_m1_1.mp4,FeltGreen_wind3_b0.01_m1_1.mp4,6
14,Silk_wind2_b100_m1.3_1.mp4,Sweater_wind2_b100_m0.1_1.mp4,Sha_wind1_b10_m1_1.mp4,7
