Triplet #,Anchor,Positive,Negative,Hardness Score
1,Cotton_wind2_b1_m0.1_1.mp4,Bro_wind1_b1_m1_1.mp4,FeltGreen_wind1_b0.1_m0.5_1.mp4,9
2,Fleece_wind2_b0.01_m0.1_1.mp4,Fleece_wind1_b0.01_m1_1.mp4,FeltGreen_wind3_b1_m1.7_1.mp4,6
3,Sweater_wind3_b0.001_m1.3_1.mp4,FeltGreen_wind1_b0.001_m0.1_1.mp4,Fleece_wind2_b1_m0.1_1.mp4,5
4,Sha_wind1_b0.1_m0.3_1.mp4,Bro_wind1_b0.1_m0.7_1.mp4,Sweater_wind2_b1_m1_1.mp4,2
5,Sha_wind3_b100_m0.5_1.mp4,Fleece_wind1_b100_m0.7_1.mp4,Sha_wind1_b0.1_m1.7_1.mp4,4
6,Fleece_wind1_b0.1_m1.3_1.mp4,Sweater_wind3_b0.1_m0.5_1.mp4,Bro_wind2_b1_m1_1.mp4,4
7,Silk_wind1_b0.1_m0.1_1.mp4,Fleece_wind1_b0.1_m0.5_1.mp4,FeltGreen_wind2_b10_m1.3_1.mp4,6
8,Fleece_wind1_b1_m1.7_1.mp4,Silk_wind1_b1_m0.3_1.mp4,Cotton_wind2_b0.1_m0.3_1.mp4,5
9,Silk_wind3_b0.001_m0.3_1.mp4,Silk_wind2_b0.001_m0.3_1.mp4,Silk_wind1_b100_m0.3_1.mp4,2
10,Cotton_wind2_b100_m0.1_1.mp4,FeltGreen_wind3_b100_m0.5_1.mp4,Cotton_wind1_b10_m1.7_1.mp4,7
11,Bro_wind1_b1_m1_1.mp4,FeltGreen_wind3_b1_m0.5_1.mp4,Sha_wind3_b0.01_m1_1.mp4,8
12,Sha_wind1_b0.01_m1.3_1.mp4,Fleece_wind3_b0.01_m0.5_1.mp4,Sweater_wind3_b0.001_m0.5_1.mp4,7
13,Silk_wind3_b100_m0.5_1.mp4,Silk_wind3_b100_m0.7_1.mp4,Silk_wind3_b1_m0.7_1.mp4,3
14,Bro_wind2_b100_m1_1.mp4,FeltGreen_wind1_b100_m1.3_1.mp4,Cotton_wind1_b0.01_m0.7_1.mp4,6
15,FeltGreen_wind2_b10_m1_1.mp4,Silk_wind2_b10_m0.1_1.mp4,Cotton_wind3_b0.001_m0.3_1.mp4,5
16,Sha_wind2_b1_m1.7_1.mp4,Sweater_wind1_b1_m0.5_1.mp4,FeltGreen_wind2_b0.1_m0.3_1.mp4,7
17,FeltGreen_wind1_b10_m0.1_1.mp4,Silk_wind3_b10_m0.7_1.mp4,Bro_wind1_b0.001_m0.5_1.mp4,6
18,Cotton_wind1_b10_m0.1_1.mp4,Cotton_wind2_b10_m0.5_1.mp4,Bro_wind2_b1_m0.5_1.mp4,6
19,Sha_wind2_b1_m1.3_1.mp4,Cotton_wind2_b1_m0.5_1.mp4,Cotton_wind3_b100_m0.3_1.mp4,7
20,Silk_wind3_b0.01_m0.7_1.mp4,Sweater_wind3_b0.01_m1.3_1.mp4,Sha_wind1_b100_m0.7_1.mp4,5
21,Silk_wind1_b0.01_m0.1_1.mp4,Sweater_wind1_b0.01_m1.7_1.mp4,Cotton_wind2_b10_m1.3_1.mp4,6
